,t,v
1105,1533686400,269653
1106,1533772800,262265
1107,1533859200,298821
1108,1533945600,320551
1109,1534032000,323034
1110,1534118400,336707
1111,1534204800,322562
1112,1534291200,315555
1113,1534377600,336958
1114,1534464000,298310
1115,1534550400,291247
1116,1534636800,283965
1117,1534723200,319204
1118,1534809600,283375
1119,1534896000,292932
1120,1534982400,289997
1121,1535068800,301887
1122,1535155200,290696
1123,1535241600,301704
1124,1535328000,319753
1125,1535414400,311432
1126,1535500800,257379
1127,1535587200,272927
1128,1535673600,277839
1129,1535760000,307537
1130,1535846400,312176
1131,1535932800,317999
1132,1536019200,296656
1133,1536105600,302289
1134,1536192000,290897
1135,1536278400,294029
1136,1536364800,274658
1137,1536451200,278538
1138,1536537600,271355
1139,1536624000,248152
1140,1536710400,248885
1141,1536796800,265172
1142,1536883200,240159
1143,1536969600,209539
1144,1537056000,208452
1145,1537142400,253144
1146,1537228800,224345
1147,1537315200,216210
1148,1537401600,232801
1149,1537488000,244858
1150,1537574400,216166
1151,1537660800,213502
1152,1537747200,215325
1153,1537833600,228975
1154,1537920000,213754
1155,1538006400,233265
1156,1538092800,235655
1157,1538179200,199983
1158,1538265600,229339
1159,1538352000,220471
1160,1538438400,217721
1161,1538524800,254293
1162,1538611200,267083
1163,1538697600,278701
1164,1538784000,282015
1165,1538870400,230043
1166,1538956800,249668
1167,1539043200,253648
1168,1539129600,242818
1169,1539216000,256020
1170,1539302400,252120
1171,1539388800,250542
1172,1539475200,235777
1173,1539561600,266483
1174,1539648000,275248
1175,1539734400,281159
1176,1539820800,267431
1177,1539907200,262565
1178,1539993600,254041
1179,1540080000,239209
1180,1540166400,281713
1181,1540252800,269733
1182,1540339200,271812
1183,1540425600,258725
1184,1540512000,266347
1185,1540598400,240906
1186,1540684800,244275
1187,1540771200,289791
1188,1540857600,298978
1189,1540944000,287944
1190,1541030400,271856
1191,1541116800,236992
1192,1541203200,229463
1193,1541289600,236669
1194,1541376000,262431
1195,1541462400,251965
1196,1541548800,238372
1197,1541635200,233419
1198,1541721600,258067
1199,1541808000,237237
1200,1541894400,263930
1201,1541980800,261016
1202,1542067200,248555
1203,1542153600,257977
1204,1542240000,248930
1205,1542326400,238707
1206,1542412800,217636
1207,1542499200,213228
1208,1542585600,291014
1209,1542672000,265317
1210,1542758400,233937
1211,1542844800,228962
1212,1542931200,230052
1213,1543017600,203765
1214,1543104000,222053
1215,1543190400,234432
1216,1543276800,223427
1217,1543363200,248140
1218,1543449600,220224
1219,1543536000,235165
1220,1543622400,211012
1221,1543708800,206970
1222,1543795200,221674
1223,1543881600,216687
1224,1543968000,234206
1225,1544054400,230912
1226,1544140800,245120
1227,1544227200,258649
1228,1544313600,227890
1229,1544400000,253681
1230,1544486400,220323
1231,1544572800,220922
1232,1544659200,222198
1233,1544745600,224141
1234,1544832000,229908
1235,1544918400,232587
1236,1545004800,234430
1237,1545091200,221969
1238,1545177600,243591
1239,1545264000,244596
1240,1545350400,240591
1241,1545436800,200280
1242,1545523200,226021
1243,1545609600,250719
1244,1545696000,225577
1245,1545782400,231627
1246,1545868800,236954
1247,1545955200,246352
1248,1546041600,239155
1249,1546128000,206301
1250,1546214400,223168
1251,1546300800,199718
1252,1546387200,238591
1253,1546473600,256833
1254,1546560000,226922
1255,1546646400,214353
1256,1546732800,219445
1257,1546819200,248305
1258,1546905600,245232
1259,1546992000,247069
1260,1547078400,241397
1261,1547164800,233786
1262,1547251200,187940
1263,1547337600,197366
1264,1547424000,269833
1265,1547510400,243768
1266,1547596800,215489
1267,1547683200,215061
1268,1547769600,215722
1269,1547856000,206647
1270,1547942400,194747
1271,1548028800,213394
1272,1548115200,205638
1273,1548201600,213264
1274,1548288000,201489
1275,1548374400,211410
1276,1548460800,195036
1277,1548547200,200010
1278,1548633600,240993
1279,1548720000,218188
1280,1548806400,207513
1281,1548892800,207126
1282,1548979200,203189
1283,1549065600,182227
1284,1549152000,168013
1285,1549238400,164595
1286,1549324800,167213
1287,1549411200,171986
1288,1549497600,167519
1289,1549584000,184410
1290,1549670400,169210
1291,1549756800,155953
1292,1549843200,178065
1293,1549929600,183115
1294,1550016000,187874
1295,1550102400,187709
1296,1550188800,191532
1297,1550275200,180899
1298,1550361600,175920
1299,1550448000,222679
1300,1550534400,218510
1301,1550620800,201485
1302,1550707200,193284
1303,1550793600,197973
1304,1550880000,188464
1305,1550966400,201385
1306,1551052800,209900
1307,1551139200,209723
1308,1551225600,214695
1309,1551312000,221659
1310,1551398400,225872
1311,1551484800,207944
1312,1551571200,194227
1313,1551657600,227430
1314,1551744000,226692
1315,1551830400,225872
1316,1551916800,225519
1317,1552003200,226292
1318,1552089600,224382
1319,1552176000,188550
1320,1552262400,206611
1321,1552348800,227971
1322,1552435200,221073
1323,1552521600,228308
1324,1552608000,215033
1325,1552694400,193302
1326,1552780800,200211
1327,1552867200,229432
