Time Init,Open,High,Low,Close,Volume,Time Close,QAV,N Trades,RSI,target,,,,
1.55935E+12,8555,8626,8442.36,8544.07,31868.23416,1.55943E+12,272098436.3,348375,65.863421,0,,,,
1.55943E+12,8545.1,8814.78,8524,8725.98,27835.13327,1.55952E+12,241414596.7,299353,67.951692,1,,,,
1.55952E+12,8726,8800.95,8080.8,8115.82,45692.9651,1.55961E+12,387155495,431252,55.653731,0,,,,
1.55961E+12,8115.66,8115.66,7481.02,7687.03,74143.94894,1.55969E+12,582173398.3,645913,48.949259,0,,,,
1.55969E+12,7687.04,7896.7,7572.78,7776.5,48679.65646,1.55978E+12,377635818,426120,50.294778,1,,,,
1.55978E+12,7778.08,7868.13,7444.58,7786.7,36624.11875,1.55987E+12,282156410.5,371485,50.4551,1,,,,
1.55987E+12,7787.57,8100,7737.49,7980.53,33942.22566,1.55995E+12,269125728.1,323096,53.522963,1,,,,
1.55995E+12,7978.94,8044.65,7751,7893.62,22657.32963,1.56004E+12,179047320,250864,51.96909,0,,,,
1.56004E+12,7895.28,7935,7506.66,7628.13,31568.46516,1.56012E+12,243970971,322175,47.438359,0,,,,
1.56012E+12,7627.57,8020,7511,7982.75,36756.07847,1.56021E+12,287125340,387179,53.295451,1,,,,
1.56021E+12,7981,8010,7692.23,7884.9,30334.99943,1.5603E+12,238031771.5,309059,51.587255,0,,,,
1.5603E+12,7884.9,8200,7788.99,8127.64,41597.08262,1.56038E+12,333291726.6,361980,55.405746,1,,,,
1.56038E+12,8127.64,8309.82,8010.03,8218.54,30467.76434,1.56047E+12,248418184.8,341246,56.780482,1,,,,
1.56047E+12,8216.44,8684.41,8144.32,8650,39835.24626,1.56056E+12,333475488.6,410072,62.66391,1,,,,
1.56056E+12,8650.88,8864.99,8567.63,8808.7,31791.63604,1.56064E+12,276420769.3,335840,64.574167,1,,,,
1.56064E+12,8810.77,9333,8760,8953.33,63289.25122,1.56073E+12,574211343,552319,66.268002,1,,,,
1.56073E+12,8953,9444,8950,9313.96,47895.48537,1.56082E+12,441567296.1,462160,70.106145,1,,,,
1.56082E+12,9312.13,9336.36,8950,9081.55,51554.5694,1.5609E+12,470271954.3,449730,64.975124,0,,,,
1.5609E+12,9081.97,9304,8960,9255.49,32147.7065,1.56099E+12,293748062.7,306202,66.926144,1,,,,
1.56099E+12,9253.76,9590,9175.2,9517.12,34556.05398,1.56108E+12,323621848.2,350662,69.663455,1,,,,
1.56108E+12,9518.06,10174.99,9518.06,10159.86,50484.41589,1.56116E+12,494783688,474344,75.112836,1,,,,
1.56116E+12,10159.86,11160,9921.72,10729.5,104169.448,1.56125E+12,1112069568,923334,78.755202,1,,,,
1.56125E+12,10729,11392.64,10555.18,10906.07,57445.32395,1.56133E+12,625330374.7,557935,79.744771,1,,,,
1.56133E+12,10905.95,11143.63,10620.8,11056.59,43101.04529,1.56142E+12,469746663.9,440335,80.575402,1,,,,
